Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
YL2AJ	KO16OX	1706	YL2QG	58	54	KO06QR		144	115	115	KO06		
YL2AJ	KO16OX	1706	YL3NB	56	59	KO16VP		50	52	52	KO16		
YL2AJ	KO16OX	1708	YL2QG	54	56	KO06QR		50	115	115	KO06		
YL2AJ	KO16OX	1708	YL3ES	56	57	KO27FF		432	81	81	KO27		
YL2AJ	KO16OX	1710	YL3NT	53	56	KO36PM		432	255	255	KO36		
YL2AJ	KO16OX	1711	YL2AO	57	58	KO16DK		50	83	83			
YL2AJ	KO16OX	1712	YL3GEA	59	59	KO37QM	SSB	144	258	258	KO37		
YL2AJ	KO16OX	1713	YL2QV	55	57	KO26WM		50	171	171	KO26		
YL2AJ	KO16OX	1719	YL3ES	57	58	KO27FF		144	81	81	KO27		
YL2AJ	KO16OX	1720	YL2QG	54	54	KO06QR		432	115	115	KO06		
YL2AJ	KO16OX	1720	YL3ND	56	57	KO17JM		50	66	66	KO17		
YL2AJ	KO16OX	1721	YL2AO	59	59	KO16DK		432	83	83	KO16		
YL2AJ	KO16OX	1721	YL3OI	59	58	KO26MO		50	120	120			
YL2AJ	KO16OX	1722	YL3NT	53	55	KO36PM		144	255	255	KO36		
YL2AJ	KO16OX	1725	YL2AO	56	59	KO16DK		144	83	83	KO16		
YL2AJ	KO16OX	1728	R1DM	55	54	KO49XQ		144	496	496	KO49	ScoredNoLog	
YL2AJ	KO16OX	1730	R1DM	53	54	KO49XQ		432	496	496	KO49	ScoredNoLog	
YL2AJ	KO16OX	1733	ES5PWN	55	57	KO38BP		144	254	254	KO38	ScoredNoLog	
YL2AJ	KO16OX	1735	ES2IPA	55	55	KO29JM		144	298	298	KO29	ScoredNoLog	
YL2AJ	KO16OX	1736	ES8AT	53	55	KO18UO		144	184	184	KO18	ScoredNoLog	
YL2AJ	KO16OX	1738	OH4SS	55	52	KP21UC		50	481	481	KP21	ScoredNoLog	
YL2AJ	KO16OX	1739	ES8PW	56	56	KO18VM		144	175	175		ScoredNoLog	
YL2AJ	KO16OX	1742	OH2BU	54	53	KP20FB		50	351	351	KP20	ScoredNoLog	
YL2AJ	KO16OX	1745	OH0AZX	54	55	KP00IF		144	390	390	KP00	ScoredNoLog	
YL2AJ	KO16OX	1747	SM6BFE	559	559	JO68DQ	CW	432	673	673	JO68	ScoredNoLog	
YL2AJ	KO16OX	1748	OH3DP	55	57	KP10TT		144	427	427	KP10	ScoredNoLog	
YL2AJ	KO16OX	1750	SK1BL	599	599	JO97HK	CW	432	281	281	JO97	ScoredNoLog	
YL2AJ	KO16OX	1752	LY1RC	58	59	KO14XX	SSB	144	228	228	KO14	ScoredNoLog	
YL2AJ	KO16OX	1753	YL2CI	54	55	KO06TR		50	101	101			
YL2AJ	KO16OX	1754	YL2GD	55	55	KO37ML	SSB	432	238	238	KO37		
YL2AJ	KO16OX	1755	ES2AFF	59	59	KO29EE	SSB	432	255	255	KO29	ScoredNoLog	
YL2AJ	KO16OX	1757	LY2TS	53	54	KO05WV		50	146	146	KO05	ScoredNoLog	
YL2AJ	KO16OX	1757	SM6BFE	599	599	JO68DQ	CW	144	673	673	JO68	ScoredNoLog	
YL2AJ	KO16OX	1800	ES0TJC	59	59	KO08XK	SSB	432	179	179	KO08	ScoredNoLog	
