Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
YL2AJ	KO16OX	1704	ES5GI	55	53	KO38GQ		432	274	274	KO38	ScoredNoLog	
YL2AJ	KO16OX	1707	ES5GI	57	56	KO38GQ		144	274	274	KO38	ScoredNoLog	
YL2AJ	KO16OX	1708	YL2QG	55	57	KO06QR		144	115	115	KO06		
YL2AJ	KO16OX	1712	YL3ANJ	54	56	KO36QU		432	254	254	KO36		
YL2AJ	KO16OX	1712	YL3EK	56	56	KO27FF		144	81	81	KO27		
YL2AJ	KO16OX	1714	YL3ANT	59	59	KO36PM		432	255	255			
YL2AJ	KO16OX	1715	YL3EK	56	56	KO27FF		432	81	81	KO27		
YL2AJ	KO16OX	1715	R1AO	57	57	KP40TG		144	522	522	KP40	ScoredNoLog	
YL2AJ	KO16OX	1717	YL3ANT	59	58	KO36PM		144	255	255	KO36		
YL2AJ	KO16OX	1718	YL3ES	58	58	KO27FF		432	81	81			
YL2AJ	KO16OX	1722	YL3GEA	59	59	KO37QM	SSB	144	258	258	KO37		
YL2AJ	KO16OX	1723	ES7RU	59	59	KO28SI	SSB	144	207	207	KO28	ScoredNoLog	
YL2AJ	KO16OX	1727	YL3GEA	59	59	KO37QM	SSB	432	258	258	KO37		
YL2AJ	KO16OX	1729	EW4GL	13	07	KO13WQ		144	369	369	KO13	ScoredNoLog	
YL2AJ	KO16OX	1731	LY1CR	59	56	KO15CL		144	178	178	KO15	ScoredNoLog	
YL2AJ	KO16OX	1732	LY3JE	59	59	KO26TC	SSB	432	178	178	KO26		
YL2AJ	KO16OX	1735	SK6EI	559	559	JO68VK	CW	432	582	582	JO68	ScoredNoLog	
YL2AJ	KO16OX	1739	ES2MC	599	599	KO29GG	CW	432	267	267	KO29	ScoredNoLog	
YL2AJ	KO16OX	1744	LY3BT	14	08	KO14XK		144	287	287	KO14	ScoredNoLog	
YL2AJ	KO16OX	1745	ES0TJC	59	59	KO08XK	FM	432	179	179	KO08	ScoredNoLog	
YL2AJ	KO16OX	1749	SM0PYH	56	53	JO99DK		144	397	397	JO99	ScoredNoLog	
YL2AJ	KO16OX	1750	SM4GGC	559	559	JO69RK	CW	432	633	633	JO69	ScoredNoLog	
YL2AJ	KO16OX	1751	SM0RPT	56	55	JP90HA		144	431	431	JP90	ScoredNoLog	
YL2AJ	KO16OX	1756	OH0AZX	57	54	KP00IF		432	390	390	KP00	ScoredNoLog	
YL2AJ	KO16OX	1757	SM1FMT	53	52	JO96BW		432	309	309	JO96	ScoredNoLog	
