Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
YL2AJ	KO16OX	1805	YL3ES	57	54	KO27FF		144	81	81	KO27		
YL2AJ	KO16OX	1805	YL3ND	54	56	KO17JM		50	66	66	KO17		
YL2AJ	KO16OX	1811	YL2AO	57	57	KO16DK		50	83	83	KO16		
YL2AJ	KO16OX	1813	YL2QV	54	57	KO26WM		50	171	171	KO26		
YL2AJ	KO16OX	1814	SM4GGC	559	559	JO69RK	CW	144	633	633	JO69	ScoredNoLog	
YL2AJ	KO16OX	1820	YL3ES	56	56	KO27FF		50	81	81	KO27		
YL2AJ	KO16OX	1820	SM6BFE	559	559	JO68DQ	CW	144	673	673	JO68	ScoredNoLog	
YL2AJ	KO16OX	1828	YL3ANJ	56	53	KO36QU		432	254	254	KO36	ScoredNoLog	
YL2AJ	KO16OX	1830	YL3EK	55	54	KO26CW		432	61	61	KO26	ScoredNoLog	
YL2AJ	KO16OX	1831	YL2IV	55	57	KO06LM		144	147	147	KO06		
YL2AJ	KO16OX	1834	LY1CR	54	53	KO15CL		144	178	178	KO15	ScoredNoLog	
YL2AJ	KO16OX	1838	YL3EK	53	54	KO26CW		144	61	61	KO26	ScoredNoLog	
YL2AJ	KO16OX	1842	YL3GEA	59	59	KO37QM	SSB	144	258	258	KO37		
YL2AJ	KO16OX	1843	SK0CT	559	559	JO99BM	CW	432	411	411	JO99	ScoredNoLog	
YL2AJ	KO16OX	1848	SM6BFE	559	559	JO68DQ	CW	432	673	673	JO68	ScoredNoLog	
YL2AJ	KO16OX	1851	OH1LEG	54	56	KP10FC		50	351	351	KP10	ScoredNoLog	
YL2AJ	KO16OX	1852	YL3ES	56	56	KO27FF		432	81	81	KO27		
YL2AJ	KO16OX	1852	YL3ND	53	56	KO17JM		144	66	66	KO17		
YL2AJ	KO16OX	1855	OH2EKG	53	55	KP20PO		144	421	421	KP20	ScoredNoLog	
YL2AJ	KO16OX	1858	OH4MR	55	57	KP21RB		144	472	472	KP21	ScoredNoLog	
YL2AJ	KO16OX	1900	ES2IPA	54	55	KO29JM		144	298	298	KO29	ScoredNoLog	
YL2AJ	KO16OX	1907	LY2BDA	559	579	KO24MQ	CW	432	280	280	KO24	ScoredNoLog	
YL2AJ	KO16OX	1907	OH0AZX	54	55	KP00IF		144	390	390	KP00	ScoredNoLog	
YL2AJ	KO16OX	1912	ES1XQ	57	56	KO29IK		432	288	288	KO29	ScoredNoLog	
YL2AJ	KO16OX	1919	OZ9GE	559	559	JO66CB	CW	432	682	682	JO66	ScoredNoLog	
YL2AJ	KO16OX	1922	YL2AO	55	59	KO16DK		432	83	83	KO16		
YL2AJ	KO16OX	1924	YL2CI	53	55	KO06TR		50	101	101	KO06		
YL2AJ	KO16OX	1927	ES0TJC	59	59	KO08XK	SSB	432	179	179	KO08	ScoredNoLog	
YL2AJ	KO16OX	1927	OH2MFE	59	59	KP20JE	SSB	144	369	369		ScoredNoLog	
YL2AJ	KO16OX	1930	ES8PW	54	55	KO18VM		432	175	175	KO18	ScoredNoLog	
YL2AJ	KO16OX	1931	ES0TJC	59	59	KO08XK	SSB	144	179	179	KO08	ScoredNoLog	
YL2AJ	KO16OX	1937	LY1CR	56	55	KO15CL		432	178	178	KO15	ScoredNoLog	
YL2AJ	KO16OX	1939	ES1OX	599	559	KO29HI	CW	144	277	277		ScoredNoLog	
YL2AJ	KO16OX	1940	SM6CEN	559	559	JO67AJ	CW	432	674	674	JO67	ScoredNoLog	
YL2AJ	KO16OX	1943	OZ6TY	599	599	JO55XE	CW	144	725	725	JO55	ScoredNoLog	
YL2AJ	KO16OX	1944	ES1ATE	59	59	KO29JK	SSB	432	289	289		ScoredNoLog	
YL2AJ	KO16OX	1945	ES2AFF	59	59	KO29EE	SSB	432	255	255		ScoredNoLog	
YL2AJ	KO16OX	1946	OZ8PG	559	559	JO66EC	CW	144	671	671	JO66	ScoredNoLog	
YL2AJ	KO16OX	1955	R1AO	53	53	KP40TG		144	522	522	KP40	ScoredNoLog	
YL2AJ	KO16OX	1956	R1DM	55	53	KO49XQ		144	496	496	KO49	ScoredNoLog	
YL2AJ	KO16OX	1957	YL3OI	54	53	KO26MO		50	120	120			
YL2AJ	KO16OX	1958	SM7DTE	559	559	JO75CN	CW	432	578	578	JO75	ScoredNoLog	
YL2AJ	KO16OX	1959	SK0CT	599	599	JO99BM	CW	144	411	411	JO99	ScoredNoLog	
YL2AJ	KO16OX	2003	YL3ANJ	55	57	KO36QU		144	254	254	KO36		
YL2AJ	KO16OX	2005	ES1OX	559	559	KO29HI	CW	432	277	277		ScoredNoLog	
YL2AJ	KO16OX	2005	YL3ANJ	56	57	KO36QU		144	0	0		CorrNoRst 55	
YL2AJ	KO16OX	2007	ES1ATE	55	55	KO29JK	SSB	144	289	289		ScoredNoLog	
YL2AJ	KO16OX	2008	SK1BL	599	599	JO97HK	CW	432	281	281	JO97	ScoredNoLog	
YL2AJ	KO16OX	2013	SP2FRY	559	559	JO83WR	CW	144	494	494	JO83	ScoredNoLog	
YL2AJ	KO16OX	2014	OH4LA	599	599	KP20LG	CW	432	380	380	KP20	ScoredNoLog	
YL2AJ	KO16OX	2015	SP2CNW	559	559	JO93AI	CW	144	520	520	JO93	ScoredNoLog	
YL2AJ	KO16OX	2016	OH2MDN	54	53	KO19LT		50	316	316	KO19	ScoredNoLog	
YL2AJ	KO16OX	2018	YL2QG	53	53	KO06QR		50	115	115			
YL2AJ	KO16OX	2022	SK6EI	58	57	JO68VK		144	582	582		ScoredNoLog	
YL2AJ	KO16OX	2023	ES4RM	52	53	KO49AL		144	397	397		ScoredNoLog	
YL2AJ	KO16OX	2025	SK4EA	57	56	JO79OO		144	551	551	JO79	ScoredNoLog	
YL2AJ	KO16OX	2026	SM5CUI	55	56	JO89WW		144	452	452	JO89	ScoredNoLog	
YL2AJ	KO16OX	2028	SA4JEA	55	54	JP70RL		144	593	593	JP70	ScoredNoLog	
YL2AJ	KO16OX	2032	SM7DTE	559	559	JO75CN	CW	144	578	578	JO75	ScoredNoLog	
YL2AJ	KO16OX	2036	YL3RK	05	03	KO35HV		144	243	243	KO35	ScoredNoLog	
YL2AJ	KO16OX	2039	ES2IPA	55	55	KO29JM		144	0	0		Dupe 19:00	
