Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
LY2BBF	KO24PR	1712	LY2BDA	599	599	KO24MQ	CW	144	17	17	KO24	ScoredNoLog	
LY2BBF	KO24PR	1718	LY5AT/P	59	59	KO24LR	FM	144	22	22		ScoredNoLog	
LY2BBF	KO24PR	1721	LY3FI	59	59	KO24PR	SSB	144	1	1		ScoredNoLog	
LY2BBF	KO24PR	1722	LY2HS	59	59	KO25UO	SSB	144	101	101	KO25		
LY2BBF	KO24PR	1722	LY3JE	59	59	KO26TC	SSB	144	155	155	KO26	ScoredNoLog	
LY2BBF	KO24PR	1726	LY1ZI	59	59	KO24OQ	FM	432	8	8	KO24	ScoredNoLog	
LY2BBF	KO24PR	1728	LY2VO	599	599	KO15PX	CW	144	188	188	KO15		
LY2BBF	KO24PR	1728	SK1BL	599	599	JO97DP	CW	144	0	0		NoWWL JO97HK	
LY2BBF	KO24PR	1734	LY2BDA/P	599	599	KO24MQ	CW	432	17	17		ScoredNoLog	
LY2BBF	KO24PR	1736	LY1CR	599	559	KO15CL	CW	144	214	214		ScoredNoLog	
LY2BBF	KO24PR	1736	SK1BL	599	599	JO97DP	CW	432	0	0		NoWWL JO97HK	
LY2BBF	KO24PR	1737	LY5AA	599	599	KO14WW	CW	144	94	94	KO14	ScoredNoLog	
LY2BBF	KO24PR	1738	LY4AA	599	599	KO14WW	CW	144	94	94		ScoredNoLog	
LY2BBF	KO24PR	1740	YL2AO	599	599	KO16DK	CW	144	268	268	KO16		
LY2BBF	KO24PR	1750	YL2AJ	599	599	KO16OX	CW	144	282	282			
LY2BBF	KO24PR	1758	LY1ZI	59	59	KO24OQ	FM	144	8	8		ScoredNoLog	
LY2BBF	KO24PR	1759	LY2WR	59	59	KO24FO	FM	144	56	56		ScoredNoLog	
LY2BBF	KO24PR	1801	LY2VO	599	599	KO15PX	CW	432	188	188	KO15		
LY2BBF	KO24PR	1815	LY2HS	599	559	KO25UO	CW	432	101	101	KO25		
LY2BBF	KO24PR	1831	YL2AO	599	599	KO16DK	CW	432	268	268	KO16		
LY2BBF	KO24PR	1839	LY2RD	59	59	KO24PW	FM	144	24	24		ScoredNoLog	
