Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
LY2BBF	KO24PR	1707	LY2HS	59	59	KO25UO	SSB	144	101	101	KO25	ScoredNoLog	
LY2BBF	KO24PR	1707	LY3FI	59	59	KO24PR	SSB	144	1	1	KO24	ScoredNoLog	
LY2BBF	KO24PR	1708	LY3JE	59	59	KO26TC	SSB	144	155	155	KO26	ScoredNoLog	
LY2BBF	KO24PR	1711	LY2R	599	599	KO15VS	CW	144	150	150	KO15		
LY2BBF	KO24PR	1713	LY3FI	59	59	KO24PR	SSB	432	1	1	KO24	ScoredNoLog	
LY2BBF	KO24PR	1715	LY4AA	599	599	KO14WW	CW	144	94	94	KO14	ScoredNoLog	
LY2BBF	KO24PR	1717	LY2VO	599	599	KO15PX	CW	144	188	188			
LY2BBF	KO24PR	1718	YL2AO	599	599	KO16DK	CW	144	268	268	KO16		
LY2BBF	KO24PR	1725	LY2R	599	599	KO15VS	CW	432	150	150	KO15		
LY2BBF	KO24PR	1725	LY8BB/P	59	59	KO24OR	FM	144	6	6		ScoredNoLog	
LY2BBF	KO24PR	1732	LY2CG	599	599	KO24PT	CW	432	10	10		ScoredNoLog	
LY2BBF	KO24PR	1734	LY2VO	599	599	KO15PX	CW	432	188	188			
LY2BBF	KO24PR	1736	SP2FRY	599	599	JO83WR	CW	144	495	495	JO83	ScoredNoLog	
LY2BBF	KO24PR	1739	YL2AJ	599	559	KO16OX	CW	432	282	282	KO16		
LY2BBF	KO24PR	1752	YL3GEA	59	59	KO37QM	SSB	144	337	337	KO37		
LY2BBF	KO24PR	1753	LY3JE	55	55	KO26TC	SSB	432	0	0		NoRst 59	
LY2BBF	KO24PR	1754	LY2CG	599	599	KO24PT	CW	144	10	10		ScoredNoLog	
LY2BBF	KO24PR	1759	YL2FZ	599	599	KO37QI	CW	144	320	320			
LY2BBF	KO24PR	1759	YL2GD	599	599	KO37ML	CW	144	325	325			
LY2BBF	KO24PR	1801	LY4AA	599	599	KO14WW	CW	432	94	94	KO14	ScoredNoLog	
LY2BBF	KO24PR	1804	LY2BDA	599	599	KO24MQ	CW	432	17	17		ScoredNoLog	
LY2BBF	KO24PR	1804	YL2AJ	599	599	KO16OX	CW	144	282	282			
LY2BBF	KO24PR	1808	LY2BDA	599	599	KO24MQ	CW	144	17	17		ScoredNoLog	
LY2BBF	KO24PR	1823	LY5AT	59	59	KO24IM	SSB	144	45	45		ScoredNoLog	
LY2BBF	KO24PR	1829	YL2GD	599	599	KO37ML	CW	432	325	325	KO37		
