Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
LY2BBF	KO24PR	1703	SK1BL	559	559	JO97DP	CW	144	0	0		NoWWL JO97HK	
LY2BBF	KO24PR	1704	LY2R	599	599	KO15VS	CW	144	150	150	KO15		
LY2BBF	KO24PR	1705	LY2BDA	59	59	KO24MQ	FM	144	17	17	KO24	ScoredNoLog	
LY2BBF	KO24PR	1705	LY3FI	59	59	KO24PR	FM	144	1	1		ScoredNoLog	
LY2BBF	KO24PR	1706	LY2KT	59	59	KO24OO	FM	144	15	15		ScoredNoLog	
LY2BBF	KO24PR	1706	LY4MO	59	59	KO24NL	FM	144	30	30		ScoredNoLog	
LY2BBF	KO24PR	1707	LY4WP	59	59	KO24QQ	FM	144	8	8		ScoredNoLog	
LY2BBF	KO24PR	1708	LY6BM	59	59	KO24PR	FM	144	1	1		ScoredNoLog	
LY2BBF	KO24PR	1717	LY2VO	599	599	KO15PX	CW	144	188	188			
LY2BBF	KO24PR	1718	LY2WR	59	59	KO24FO	FM	144	56	56		ScoredNoLog	
LY2BBF	KO24PR	1723	LY3JE	59	59	KO26TC	SSB	144	155	155	KO26		
LY2BBF	KO24PR	1729	LY2HS	599	599	KO25UO	CW	144	101	101	KO25		
LY2BBF	KO24PR	1730	YL2AO	599	599	KO16OX	CW	144	0	0		NoWWL KO16DK	
LY2BBF	KO24PR	1737	LY2AS	59	59	KO24PQ	FM	144	5	5		ScoredNoLog	
LY2BBF	KO24PR	1745	LY1ZI	59	59	KO24OQ	FM	432	8	8	KO24	ScoredNoLog	
LY2BBF	KO24PR	1745	LY2KT	59	59	KO24OO	FM	432	15	15		ScoredNoLog	
LY2BBF	KO24PR	1746	LY3FI	59	59	KO24PR	FM	432	1	1		ScoredNoLog	
LY2BBF	KO24PR	1746	LY4MO	59	59	KO24QQ	FM	432	8	8		ScoredNoLog	
LY2BBF	KO24PR	1749	YL2FZ	599	599	KO37QI	CW	144	320	320	KO37		
LY2BBF	KO24PR	1755	YL2GD	599	559	KO37ML	CW	144	325	325			
LY2BBF	KO24PR	1759	LY1ZI	59	59	KO24OQ	FM	144	8	8		ScoredNoLog	
LY2BBF	KO24PR	1759	LY3QL	59	59	KO24OP	FM	144	11	11		ScoredNoLog	
LY2BBF	KO24PR	1800	LY0NAS	59	59	KO24OR	FM	144	6	6		ScoredNoLog	
LY2BBF	KO24PR	1805	LY1CR	599	599	KO15CL	CW	144	214	214		ScoredNoLog	
LY2BBF	KO24PR	1809	LY2BDA	599	599	KO24MQ	CW	432	17	17		ScoredNoLog	
LY2BBF	KO24PR	1814	LY2VO	599	599	KO15PX	CW	432	188	188	KO15		
LY2BBF	KO24PR	1816	LY2WR	599	599	KO24FO	CW	432	56	56		ScoredNoLog	
LY2BBF	KO24PR	1817	LY4AA	599	599	KO14WW	CW	432	94	94	KO14	ScoredNoLog	
LY2BBF	KO24PR	1817	YL2AJ	599	599	KO16OX	CW	144	282	282	KO16		
LY2BBF	KO24PR	1832	LY1MV	59	59	KO24PQ	FM	144	5	5		ScoredNoLog	
LY2BBF	KO24PR	1836	SP2FRY	599	559	JO83WR	CW	144	495	495	JO83	ScoredNoLog	
LY2BBF	KO24PR	1846	YL2AO	599	599	KO16DK	CW	432	268	268	KO16		
LY2BBF	KO24PR	1857	LY4AA	599	599	KO14WW	CW	144	94	94	KO14	ScoredNoLog	
LY2BBF	KO24PR	1920	LY2HS	599	599	KO25UO	CW	432	101	101	KO25		
LY2BBF	KO24PR	1947	SQ2RAD	59	59	JO94GM	SSB	144	435	435	JO94	ScoredNoLog	
LY2BBF	KO24PR	2004	SP7TEE	59	5	JO91SS	SSB	144	505	505	JO91	ScoredNoLog	
LY2HS	KO25UO	1702	LY2WR	59	59	KO24FO	SSB	432	137	137	KO24	ScoredNoLog	
LY2HS	KO25UO	1704	LY3JE	59	59	KO26TC	SSB	432	56	56	KO26		
LY2HS	KO25UO	1710	YL2AJ	57	54	KO16OX	RTTY	50	218	218	KO16		
LY2HS	KO25UO	1712	YL3NB	57	56	KO16VP	RTTY	50	166	166			
LY2HS	KO25UO	1714	LY3JE	59	59	KO26TC	FM	144	56	56	KO26		
LY2HS	KO25UO	1715	YL2QV	58	54	KO26WM	RTTY	50	103	103	KO26		
LY2HS	KO25UO	1717	YL3OO	56	54	KO27DD	RTTY	50	193	193	KO27		
LY2HS	KO25UO	1718	YL2AO	54	54	KO16DK	RTTY	50	232	232			
LY2HS	KO25UO	1720	SK1BL	599	559	JO97HK	CW	432	480	480	JO97	ScoredNoLog	
LY2HS	KO25UO	1720	YL3ND	58	57	KO17JM	RTTY	50	279	279	KO17		
LY2HS	KO25UO	1722	YL2II	57	57	KO26OO	RTTY	50	116	116			
LY2HS	KO25UO	1724	LY2BDA	599	599	KO24MQ	CW	144	111	111	KO24	ScoredNoLog	
LY2HS	KO25UO	1729	LY2BBF	599	599	KO24PR	CW	144	101	101			
LY2HS	KO25UO	1730	YL2QG	54	53	KO06QR	RTTY	50	296	296	KO06		
LY2HS	KO25UO	1731	LY2R	599	579	KO15VS	CW	144	122	122	KO15		
LY2HS	KO25UO	1732	YL2AJ	599	599	KO16OX	CW	432	218	218	KO16		
LY2HS	KO25UO	1732	YL2CI	54	54	KO06TR	RTTY	50	283	283			
LY2HS	KO25UO	1736	LY2VO	599	599	KO15PX	CW	144	157	157			
LY2HS	KO25UO	1739	ES5RY	08	09	KO38	RTTY	50	0	0		NoWWL KO38JI	
LY2HS	KO25UO	1742	LY1CR	599	599	KO15CL	CW	144	221	221		ScoredNoLog	
LY2HS	KO25UO	1744	YL2AJ	599	599	KO16OX	CW	144	218	218	KO16		
LY2HS	KO25UO	1748	YL2GD	58	55	KO37ML	RTTY	50	224	224	KO37		
LY2HS	KO25UO	1752	LY5AA	599	599	KO14OH	CW	144	215	215	KO14	ScoredNoLog	
LY2HS	KO25UO	1754	LY4AA	559	559	KO14WW	CW	432	138	138	KO14	ScoredNoLog	
LY2HS	KO25UO	1756	YL2GD	599	599	KO37ML	CW	432	224	224	KO37		
LY2HS	KO25UO	1759	YL2GD	599	599	KO37ML	CW	144	224	224	KO37		
LY2HS	KO25UO	1808	LY2VO	59	59	KO15PX	SSB	432	157	157	KO15		
LY2HS	KO25UO	1819	ES3MAR	55	53	KO28KX	RTTY	50	379	379	KO28	ScoredNoLog	
LY2HS	KO25UO	1820	YL3EK	54	56	KO27FF	RTTY	432	197	197	KO27		
LY2HS	KO25UO	1821	ES0Z	57	55	KO18KT	RTTY	50	396	396	KO18	ScoredNoLog	
LY2HS	KO25UO	1821	LY2J	599	599	KO14QL	CW	144	195	195		ScoredNoLog	
LY2HS	KO25UO	1821	YL3ES	56	54	KO27FF	RTTY	432	197	197			
LY2HS	KO25UO	1822	ES8PW	56	56	KO18VM	RTTY	432	345	345	KO18	ScoredNoLog	
LY2HS	KO25UO	1823	LY2WR	599	599	KO24FO	CW	144	137	137		ScoredNoLog	
LY2HS	KO25UO	1826	YL2II	599	599	KO26OO	CW	144	116	116			
LY2HS	KO25UO	1827	YL2II	56	55	KO26OO	RTTY	432	116	116			
LY2HS	KO25UO	1831	YL2AO	58	53	KO16DK	RTTY	432	232	232			
LY2HS	KO25UO	1833	YL2II	54	56	KO26OO	RTTY	432	0	0		Dupe 18:27	
LY2HS	KO25UO	1833	YL2KO	599	599	KO37RI	CW	144	223	223			
LY2HS	KO25UO	1837	YL2AO	599	599	KO16DK	CW	144	232	232			
