Callsign;01;02;03;04;05;06;07;08;09;10;11;12;Kopâ
YL2GD;;-;18963;12382;24159;562711;28476;20269;10640;64496;;;742096
YL2SM;;;;;;567029;;;;;;;567029
YL2AO;29998;24998;39131;32852;49356;177774;44494;29107;-;-;;;427710
YL2CI;20169;14887;18058;21764;24017;235389;22243;23041;25628;;;;390309
YL3ND;15772;8489;17721;16055;20129;201421;17357;17558;13899;18750;;;324763
YL2GN;;;1099;;;171660;;;;;;;172759
YL2FZ;-;-;551;-;4979;123784;4488;4368;11547;3412;;;153129
YL2QV;7624;2200;11829;4476;22675;65186;7325;8930;21626;-;;;149671
YL2QG;;1139;5817;4133;7663;81870;9040;5901;3791;7838;;;126053
YL2AJ;-;-;-;-;10053;93226;-;-;-;12286;;;115565
YL2II;;;3515;-;5689;40485;4680;-;8986;16331;;;79686
YL1ZF;;;;;;61952;-;;;;;;61952
YL3OO;;;4118;;7986;;8290;;8568;;;;28962
YL3AOI;;;;;;;14397;11099;;;;;25496
YL3ES;-;-;4824;-;6147;-;-;-;4882;7653;;;23506
YL3OI;;;;;;;;;7089;13776;;;20865
YL3ANJ;-;-;1206;-;-;-;5403;2215;-;2935;;;11759
YL3NB;;;4263;1425;5531;;;;;;;;11219
LY2HS;;;;-;6885;-;-;-;;;;;6885
YL2CQ;;;;;;;;;;6033;;;6033
YL2IV;;;;;;;;5965;;;;;5965
