Callsign;01;02;03;04;05;06;07;08;09;10;11;12;Kopâ
YL2AO;23785;27650;26714;28718;29469;27981;34411;36370;23998;23983;;;235311
YL2AJ;20190;20130;20354;26235;18169;22087;-;29326;22252;26212;;;186786
LY2VO;-;17966;23735;20322;25646;22804;25649;23231;23373;12946;;;182726
YL2GD;;1522;8487;14528;19800;11506;18783;17293;10737;27738;;;128872
LY2R;19260;15778;14433;;-;21362;;-;30609;26238;;;127680
YL3EK;;;;;8593;7715;12518;18294;8189;13046;;;68355
LY2HS;;;;6408;10350;13360;12428;13273;;;;;55819
YL2FZ;-;-;-;10045;5790;7705;7884;3680;6459;7003;;;48566
YL3ES;3888;740;4062;4105;3180;2038;10441;10161;2075;4519;;;42431
YL3ANJ;538;-;2009;4409;2656;2548;4401;5137;6414;9008;;;36582
LY2BBF;-;2972;4040;-;3256;3417;4498;2864;5842;-;;;26889
LY3JE;;;;3653;3987;5474;;-;4620;4934;;;22668
YL3ANT;4684;;;5990;3747;;-;-;-;3918;;;18339
YL2II;;;2084;-;2528;-;5274;-;3267;4975;;;18128
YL2QG;;-;565;-;-;-;8127;7071;-;1214;;;16977
YL1ZF;;;;;;2928;6100;;;;;;9028
YL3GEA;1841;-;1085;-;1083;521;1104;-;521;2534;;;8689
YL2IV;;;;;;;;6955;;;;;6955
YL2KO;-;-;-;-;1090;-;534;;534;4292;;;6450
