Callsign;01;02;03;04;05;06;07;08;09;10;11;12;Kopâ
YL2AJ;7956;11180;10953;10832;13085;15015;18841;21641;21873;5784;;;123420
YL2AO;7307;12213;14589;12286;16851;12503;15023;17220;17288;-;;;117973
LY2R;7394;12060;12341;;17639;14033;;16661;16287;12092;;;108507
YL2GD;;4943;7968;2330;12964;9376;11240;1292;13162;6432;;;68415
LY2VO;-;-;1243;3881;10952;-;-;12910;13282;-;;;42268
YL2FZ;1537;2743;2067;2067;2916;1285;2790;3592;2916;3299;;;22390
YL3EK;;;;;3181;1398;1398;740;4118;581;;;11416
LY3JE;;;;-;3167;2868;;2032;2993;-;;;11060
YL3ANJ;-;-;-;-;1444;1388;2236;-;1982;1094;;;8144
YL2KO;-;505;505;534;534;534;505;;505;505;;;4127
YL3ANT;-;;;-;-;;1239;-;1146;538;;;2923
