Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
YL2AJ	KO16OX	1706	ES5GI	58	56	KO38GQ		144	274	274	KO38	ScoredNoLog	
YL2AJ	KO16OX	1707	YL3ANJ	54	56	KO36QU		432	254	254	KO36		
YL2AJ	KO16OX	1708	YL2QG	53	54	KO06QR		432	115	115	KO06		
YL2AJ	KO16OX	1708	YL3ND	54	58	KO17JM		144	66	66	KO17		
YL2AJ	KO16OX	1710	YL3ANT	58	58	KO36PM		432	255	255			
YL2AJ	KO16OX	1711	YL3EK	55	58	KO27FF		144	81	81	KO27		
YL2AJ	KO16OX	1713	R1AO	56	54	KP40TG		144	522	522	KP40	ScoredNoLog	
YL2AJ	KO16OX	1714	YL3EK	57	58	KO27FF		432	81	81	KO27		
YL2AJ	KO16OX	1715	YL3ES	57	58	KO27FF		432	81	81			
YL2AJ	KO16OX	1716	ES5GI	57	56	KO38GQ		432	274	274	KO38	ScoredNoLog	
YL2AJ	KO16OX	1716	R1DM	55	57	KO49XQ		144	496	496	KO49	ScoredNoLog	
YL2AJ	KO16OX	1718	ES4RM	56	56	KO49AL		144	397	397		ScoredNoLog	
YL2AJ	KO16OX	1720	UA1AJY	54	55	KO49TW		144	498	498		ScoredNoLog	
YL2AJ	KO16OX	1723	YL2FZ	559	559	KO37QI	CW	1296	255	255	KO37		
YL2AJ	KO16OX	1723	R1MQ	53	54	KO58CS		144	460	460	KO58	ScoredNoLog	
YL2AJ	KO16OX	1725	YL2IV	56	56	KO06OL		144	135	135	KO06		
YL2AJ	KO16OX	1729	YL3ES	59	54	KO27FF		144	81	81			
YL2AJ	KO16OX	1729	LY2WR	599	599	KO24FO	CW	1296	276	276	KO24	ScoredNoLog	
YL2AJ	KO16OX	1729	SM4GGC	559	559	JO69RK	CW	432	633	633	JO69	ScoredNoLog	
YL2AJ	KO16OX	1731	LY3JE	59	59	KO26TC	SSB	432	178	178	KO26		
YL2AJ	KO16OX	1732	LY2HS	59	59	KO25UO	SSB	432	218	218	KO25		
YL2AJ	KO16OX	1733	LY2VO	559	599	KO15PX	CW	1296	112	112	KO15		
YL2AJ	KO16OX	1733	SM0LQB	58	58	JO89WF		144	401	401	JO89	ScoredNoLog	
YL2AJ	KO16OX	1734	SM0WW	55	58	JO99KO		144	387	387	JO99	ScoredNoLog	
YL2AJ	KO16OX	1736	SM5CUI	55	55	JO89WW		144	452	452		ScoredNoLog	
YL2AJ	KO16OX	1739	LY3JE	59	59	KO26TC	SSB	1296	178	178	KO26		
YL2AJ	KO16OX	1739	SM3XGV	55	53	JP81OF		144	584	584	JP81	ScoredNoLog	
YL2AJ	KO16OX	1740	OH3DP	55	56	KP10TT		432	427	427	KP10	ScoredNoLog	
YL2AJ	KO16OX	1743	ES8PW	56	56	KO18VM		432	175	175	KO18	ScoredNoLog	
YL2AJ	KO16OX	1745	YL2GD	599	599	KO37ML	CW	1296	238	238			
YL2AJ	KO16OX	1747	YL2KO	59	59	KO37RI	SSB	144	260	260	KO37		
YL2AJ	KO16OX	1748	ES1OX/2	559	559	KO29AI	CW	1296	269	269	KO29	ScoredNoLog	
YL2AJ	KO16OX	1748	LY2HS	59	59	KO25UO	SSB	144	218	218	KO25		
YL2AJ	KO16OX	1749	LY3JE	59	59	KO26TC	SSB	144	178	178	KO26		
YL2AJ	KO16OX	1749	R1DM	56	54	KO49XQ		432	496	496	KO49	ScoredNoLog	
YL2AJ	KO16OX	1751	ES2DF	559	599	KO29GG	CW	1296	267	267		ScoredNoLog	
YL2AJ	KO16OX	1751	YL3GEA	59	59	KO37QM	SSB	144	258	258			
YL2AJ	KO16OX	1752	ES2AFF	59	59	KO29EE	SSB	1296	255	255		ScoredNoLog	
YL2AJ	KO16OX	1752	SM6VTZ	559	559	JO58UJ	CW	432	701	701	JO58	ScoredNoLog	
YL2AJ	KO16OX	1755	YL3ND	55	57	KO17JM		50	66	66	KO17		
YL2AJ	KO16OX	1756	YL3ANT	55	57	KO36PM		1296	255	255	KO36		
YL2AJ	KO16OX	1758	YL2QV	54	58	KO26WM		50	171	171	KO26		
YL2AJ	KO16OX	1800	YL2QV	55	58	KO26WM		144	171	171			
YL2AJ	KO16OX	1800	YL3OI	55	55	KO26MO		50	120	120			
YL2AJ	KO16OX	1802	YL3ANT	53	55	KO36PM		144	255	255	KO36		
YL2AJ	KO16OX	1802	YL3NB	55	55	KO16VP		50	52	52	KO16		
YL2AJ	KO16OX	1804	ES2DF	59	59	KO29GG	SSB	432	267	267	KO29	ScoredNoLog	
YL2AJ	KO16OX	1805	YL2GD	58	55	KO37ML		50	238	238	KO37		
YL2AJ	KO16OX	1805	OZ6TY	559	599	JO55XE	CW	144	725	725	JO55	ScoredNoLog	
YL2AJ	KO16OX	1806	ES2NJ	56	59	KO29NK		50	296	296	KO29	ScoredNoLog	
YL2AJ	KO16OX	1807	ES1MW	59	59	KO29HI	SSB	432	277	277		ScoredNoLog	
YL2AJ	KO16OX	1808	IK0USO	11	08	JN61FV		50	1844	1844	JN61	ScoredNoLog	
YL2AJ	KO16OX	1808	SM7PYJ	56	55	JO76TE		144	473	473	JO76	ScoredNoLog	
YL2AJ	KO16OX	1810	ES1OX/2	599	599	KO29AI	CW	432	269	269		ScoredNoLog	
YL2AJ	KO16OX	1810	YL2QG	55	58	KO06QR		1296	115	115	KO06		
YL2AJ	KO16OX	1812	ES2MC	599	599	KO29GG	CW	432	267	267		ScoredNoLog	
YL2AJ	KO16OX	1812	YL3ANJ	56	56	KO36QU		144	254	254			
YL2AJ	KO16OX	1814	SM0BHN	559	559	JO89WI	CW	1296	410	410	JO89	ScoredNoLog	
